Q1,Q2,Q3,Q4,Q5,Age,Gender,Occupation
7,8,10,Difference Removing Feminism,Yes,39,Undisclosed,Mailman
2,3,8,"Honoring",No,21,Male,Student
2,5,9,difference-honoring feminism,No,21,Male,Student
7,1,10,difference-honoring feminism,No,21,Female,Student
1,1,1,"Difference removing feminism",No,20,Female,Student
1,3,10,Difference Removing Feminism,No,19,Female,Student
2,5,9,"Difference removing feminism",No,21,Male,Student
6,4,2,difference-honoring feminism,No,19,Female,Student
7,5,3,Difference_denying,No,20,Male,Student
6,9,7,Difference-Honoring feminism,No,21,Female,Student
